# type=equal temperament intervals. number of intervals=5

#       cents  Δ cents  f ratio   ratio (derived)  fl ratio       aerror       rerror       f (Hz)
#-------------------------------------------------------------------------------------------------
0       0.000    0.000  1.000000  1                1.000000   0.00000000   0.00000000   220.000000
1     240.000  240.000  1.148698  6/5              1.200000  -0.05130165  -4.46606760   252.713638
2     480.000  240.000  1.319508  4/3              1.333333  -0.01382542  -1.04777110   290.291740
3     720.000  240.000  1.515717  3/2              1.500000   0.01571657   1.03690669   333.457645
4     960.000  240.000  1.741101  7/4              1.750000  -0.00889887  -0.51110606   383.042248
5    1200.000  240.000  2.000000  2                2.000000   0.00000000   0.00000000   440.000000
# derived ratios: ['1' '6/5' '4/3' '3/2' '7/4' '2']

# cents sha256:6aecf54657e156cf782e56b9d724358e8f6200cdec7d99e374e2502c9d2bc3dd
1,6/5,4/3,3/2,7/4,2
